category,Resto_name,Dishes_one,Dishes_two,Dishes_three,Dishes_four,Dishes_five,Dishes_six,Dishes_seven,Dishes_eight,Dishes_nine,Dishes_ten,locality_verbose
Chinese Asian,Blu Dynasty - The Blulane Hotel,Peking Duck, Sweet and Sour Pork, Yang Chow Fried Rice, Lemon Chicken, Beef with Broccoli, Kung Pao Chicken, Hot and Sour Soup, Mapo Tofu, Dim Sum Platter, Mango Sago,"Santa Cruz, Manila"
Fast Food Filipino,Blu Kitchen Cafe,Kare-Kare, Adobo Rice Bowl, Chicken Teriyaki, Crispy Pata, Sinigang na Bangus, Beef Tapa, Pancit Canton, Bicol Express Pasta, Chicken Inasal, Lechon Kawali,"Loyola Heights, Quezon City"
Seafood Filipino American,Blue Posts Boiling Crabs & Shrimps,Boiled Crabs, Shrimp Scampi, Garlic Fried Shrimp, Crab Maritess, Salted Egg Shrimp, Crispy Calamari, Cajun Fries, Butter Garlic Rice, Steamed Shrimp, Crab Rice,"The Block, SM City North EDSA, Bago Bantay, Quezon City, Quezon City"
Seafood Filipino American,Blue Posts Boiling Crabs & Shrimps,Boiled Crabs, Shrimp Scampi, Garlic Fried Shrimp, Crab Maritess, Salted Egg Shrimp, Crispy Calamari, Cajun Fries, Butter Garlic Rice, Steamed Shrimp, Crab Rice,"O Square, Greenhills, San Juan City, San Juan City"
Filipino Asian,Blue Rocket Cafe + Kitchen,Pork Belly Adobo, Salted Egg Chicken, Beef Salpicao, Tofu Sisig, Pesto Pasta, Grilled Cheese Sandwich, Chicken Caesar Salad, Bacon and Egg Fried Rice, Red Velvet Pancakes, Nutella Milkshake,"Paligsahan, Quezon City"
Grill Seafood Finger Food,Bluefin Grill,Grilled Tuna Belly, Salmon Steak, Seafood Skewers, Sizzling Blue Marlin, Tuna Sashimi, Fish and Chips, Seafood Pasta, Shrimp Tempura, Clam Chowder, Mango Crepe,"Metrowalk Commercial Complex, Ugong, Pasig City, Pasig City"
American Filipino Coffee,Bluesmith Coffee & Kitchen,Chicken and Waffle, Tocino Rice Bowl, Breakfast Burrito, Pancake Stack, Bacon and Egg Sandwich, Avocado Toast, Caesar Salad, Blueberry Pancakes, French Toast, Mocha Frappe,"Magallanes, Makati City"
American,Bluesmith Coffee & Kitchen,Chicken and Waffle, Tocino Rice Bowl, Breakfast Burrito, Pancake Stack, Bacon and Egg Sandwich, Avocado Toast, Caesar Salad, Blueberry Pancakes, French Toast, Mocha Frappe,"Greenbelt 3, San Lorenzo, Makati City, Makati City"
American,Bluesmith Coffee & Kitchen,Chicken and Waffle, Tocino Rice Bowl, Breakfast Burrito, Pancake Stack, Bacon and Egg Sandwich, Avocado Toast, Caesar Salad, Blueberry Pancakes, French Toast, Mocha Frappe,"Ayala Malls The 30th, Ugong, Pasig City, Pasig City"
Coffee,Blugr̩ Coffee,Caramel Macchiato, Espresso, Mocha Frappe, Vanilla Latte, Iced Chocolate, Hazelnut Latte, Matcha Green Tea Latte, Cappuccino, White Chocolate Mocha, Irish Cream Coffee,"Festival Mall, Filinvest City, Muntinlupa City , Muntinlupa City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"SM Center Sangandaan, South Caloocan, Caloocan City, Caloocan City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"The Rolex Place, Fairview, Quezon City, Quezon City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"Bonifacio High Street, Bonifacio Global City, Taguig City, Taguig City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"SM City San Lazaro, Santa Cruz, Manila, Manila"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"SM Southmall, Almanza, Las Pi̱as City, Las Pi̱as City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"Glorietta 5, Glorietta Complex, Makati City, Makati City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"Teachers Village, Quezon City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"Loyola Heights, Quezon City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"UP Town Center, Diliman, Quezon City, Quezon City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"Puregold Molito, Alabang, Mutinlupa City, Muntinlupa City"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"SM City Manila, Ermita, Manila, Manila"
Coffee,Bo's Coffee,Honey Vanilla Latte, Flat White, Cappuccino, Mocha Frappe, Iced Latte, Caf̩ Americano, Caramel Macchiato, Hazelnut Latte, Matcha Green Tea Latte, Espresso,"SM Light Mall, Buayang Bato, Mandaluyong City, Mandaluyong City"
Korean,Bobby Box,Bulgogi,Kimchi Fried Rice,Japchae,Bibimbap,Tteokbokki,Samgyeopsal,Kimchi-Jjigae,Galbi,Kimbap,Bulgogi Kimbap,"Libis, Quezon City"
Mexican,Bocadillos,Tacos,Burritos,Quesadillas,Enchiladas,Tostadas,Chiles Rellenos,Tamales,Guacamole,Salsa,Churros,"SM Southmall, Almanza, Las Pi̱as City, Las Pi̱as City"
American Filipino,Bodega Kitchen & Bar,Adobo,Sisig,Kare-Kare,Lechon Kawali,Sinigang,Tinola,Pinakbet,Pancit,Mango Float,Halo-Halo,"Salcedo Village, Makati City"
Healthy Food Asian,Bodhi Vegetarian Health Food,Vegetable Stir-Fry,Tofu Curry,Buddha Bowl,Vegan Sushi,Vegetarian Spring Rolls,Seaweed Salad,Bean Sprout Soup,Steamed Dumplings,Fruit Smoothie Bowl,Quinoa Salad,"SM City Manila, Ermita, Manila, Manila"
Indian,Bollywood Treats,Butter Chicken,Biryani,Tandoori Chicken,Samosa,Naan,Paneer Tikka,Mango Lassi,Masala Dosa,Gulab Jamun,Chai Tea,"Century City Mall, Poblacion, Makati City, Makati City"
Tea American,Bon Appetea,Milk Tea,Fruit Tea,Iced Tea,Matcha Latte,Oolong Tea,Jasmine Tea,Rose Milk Tea,Honey Lemon Tea,Thai Milk Tea,Brown Sugar Milk Tea,"Salcedo Village, Makati City"
Vietnamese Asian,Bon Banhmi,Banh Mi,Pho,Vietnamese Spring Rolls,Bun Cha,Hue Noodle Soup,Banh Xeo,Com Tam,Banh Bot Chien,Coffee Jelly,Avocado Shake,"Bonifacio High Street, Bonifacio Global City, Taguig City, Taguig City"
Vietnamese Asian,Bon Banhmi,Banh Mi,Pho,Vietnamese Spring Rolls,Bun Cha,Hue Noodle Soup,Banh Xeo,Com Tam,Banh Bot Chien,Coffee Jelly,Avocado Shake,"San Antonio, Makati City"
Vietnamese Asian,Bon Banhmi,Banh Mi,Pho,Vietnamese Spring Rolls,Bun Cha,Hue Noodle Soup,Banh Xeo,Com Tam,Banh Bot Chien,Coffee Jelly,Avocado Shake,"Ayala Malls The 30th, Ugong, Pasig City, Pasig City"
Fast Food Korean,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Ayala Triangle Gardens, Salcedo Village, Makati City, Makati City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"University Mall, Malate, Manila, Manila"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Eton Centris, Diliman, Quezon City , Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Gateway Mall, Cubao, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"The Link, Glorietta Complex, Makati City, Makati City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Trinoma Mall, Bagong Pag-Asa, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM Light Mall, Buayang Bato, Mandaluyong City, Mandaluyong City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Starmall EDSA-Shaw Boulevard, Highway Hills, Mandaluyong City, Mandaluyong City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Starmall Alabang, Filinvest City, Muntinlupa City, Muntinlupa City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Greenbelt 1, San Lorenzo, Makati City, Makati City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Ever Gotesco Commonwealth, Batasan Hills, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Isetann Mall, Quiapo, Manila, Manila"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City San Lazaro, Santa Cruz, Manila, Manila"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Shopwise Arcade, Cubao, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Alphaland Southgate Mall, Magallanes, Makati City, Makati City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Ayala Malls Feliz, Dela Paz, Pasig City, Pasig City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Ayala Malls Marikina, Marikina Heights, Marikina City, Marikina City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City Sucat, San Dionisio, Para̱aque City, Para̱aque City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City Marikina, Calumpang, Marikina City, Marikina City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City Manila, Ermita, Manila, Manila"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City BF Para̱aque, BF Homes, Para̱aque City, Para̱aque City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Ayala Fairview Terraces, Novaliches, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM Southmall, Almanza, Las Pi̱as City, Las Pi̱as City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Shangri-La Plaza, Ortigas, Mandaluyong City, Mandaluyong City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"The Block, SM City North EDSA, Bago Bantay, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Promenade, Greenhills Shopping Centre, Greenhills, San Juan City, San Juan City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Fisher Mall, Del Monte, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM Center Sangandaan, South Caloocan, Caloocan City, Caloocan City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Riverbanks Center, Barangka, Marikina City, Marikina City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Venice Piazza, McKinley Hill, Taguig City, Taguig City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Festival Mall, Filinvest City, Muntinlupa City , Muntinlupa City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City Valenzuela, Karuhatan, Valenzuela City, Valenzuela City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"South Wing, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Ayala Malls Cloverleaf, Balintawak, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Ayala Malls The 30th, Ugong, Pasig City, Pasig City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Eastwood Citywalk 1, Libis, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City Fairview, Novaliches, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Farmers Plaza, Cubao, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City Novaliches, Novaliches, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"UP Town Center, Diliman, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"The Village Square Alabang, Almanza, Las Pi̱as City, Las Pi̱as City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City Bicutan, Don Bosco, Para̱aque City, Para̱aque City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Sampaloc, Manila"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"UP Ayala Technohub, Diliman, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM City Santa Mesa, Santa Mesa, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"SM Cherry Shaw, Pleasant Hills, Mandaluyong City, Mandaluyong City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Ayala Malls Vertis North, Bagong Pag-asa, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Regis Center, Loyola Heights, Quezon City, Quezon City"
Korean Fast Food,BonChon Chicken,Fried Chicken,Chicken Wings,Chicken Bibimbap,Chicken Katsu,Chicken Ramen,Chicken Tenders,Chicken Wrap,Chicken Salad,Chicken Popcorn,Kimchi Coleslaw,"Market! Market!, Bonifacio Global City, Taguig City, Taguig City"
Australian,Bondi & Bourke,Fish and Chips, Chicken Parmigiana, Meat Pie, Lamb Shank, Barramundi, Vegemite on Toast, Pavlova, Lamington, Tim Tam, Anzac Biscuits,"Burgos Circle, Bonifacio Global City, Taguig City, Taguig City"
Australian,Bondi & Bourke,Steak, Sausage Roll, Beef Burger, Chicken Schnitzel, Grilled Barramundi, Veggie Burger, Kangaroo Fillet, Pavlova, Lamington, Vanilla Slice,"Legaspi Village, Makati City"
Filipino Grill,Bonfire Grill,Pork Barbecue Skewers, Chicken Inasal, Liempo, Grilled Tuna Belly, Beef Kebabs, Sisig, Grilled Chicken Wings, Pork Belly, Grilled Bangus, Grilled Squid,"Riverbanks Center, Barangka, Marikina City, Marikina City"
Desserts Ice Cream,Bono Gelato,Dark Chocolate Gelato, Pistachio Gelato, Salted Caramel Gelato, Hazelnut Gelato, Stracciatella Gelato, Mango Sorbet, Tiramisu Gelato, Cookies and Cream Gelato, Raspberry Sorbet, Green Tea Gelato,"SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City"
Desserts Ice Cream,Bono Gelato,Mint Chocolate Gelato, Vanilla Gelato, Coffee Gelato, Coconut Gelato, Chocolate Chip Gelato, Strawberry Gelato, Lemon Sorbet, White Chocolate Gelato, Blueberry Cheesecake Gelato, Peanut Butter Gelato,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City"
Desserts Ice Cream,Bono Gelato,Mint Chocolate Gelato, Vanilla Gelato, Coffee Gelato, Coconut Gelato, Chocolate Chip Gelato, Strawberry Gelato, Lemon Sorbet, White Chocolate Gelato, Blueberry Cheesecake Gelato, Peanut Butter Gelato,"SM Makati, Glorietta Complex, Makati City, Makati City"
Filipino Coffee,Boo Rock Cafe,Brewed Coffee, Cappuccino, Latte, Espresso, Mocha, Americano, Affogato, Flat White, Cold Brew, Irish Coffee,"Putatan, Muntinlupa City"
Filipino Italian Coffee,Book & Borders Cafe,Espresso, Cappuccino, Cafe Latte, Americano, Mocha, Macchiato, Matcha Latte, Chai Tea Latte, Hot Chocolate, Caramel Frappe,"Tuscany, McKinley Hill, Taguig City, Taguig City"
Filipino Italian Coffee,Book & Borders Cafe,Espresso, Cappuccino, Cafe Latte, Americano, Mocha, Macchiato, Matcha Latte, Chai Tea Latte, Hot Chocolate, Caramel Frappe,"Libis, Quezon City"
Filipino Italian Coffee,Book & Borders Cafe,Espresso, Cappuccino, Cafe Latte, Americano, Mocha, Macchiato, Matcha Latte, Chai Tea Latte, Hot Chocolate, Caramel Frappe,"Manhattan Parkview, Cubao, Quezon City, Quezon City"
Filipino Italian Coffee,Book & Borders Cafe,Espresso, Cappuccino, Cafe Latte, Americano, Mocha, Macchiato, Matcha Latte, Chai Tea Latte, Hot Chocolate, Caramel Frappe,"Tomas Morato, Quezon City"
Korean Korean BBQ,Bornga,Samgyeopsal, Galbi, Bulgogi, Bibimbap, Kimchi Jjigae, Japchae, Tteokbokki, Kimchi Pancake, Haemul Pajeon, Budae Jjigae,"Alphaland Makati Place, Bel-Air, Makati City, Makati City"
Filipino,Bossing Grill,Chicken Inasal, Lechon Kawali, Pork BBQ, Liempo, Sinigang na Baboy, Adobong Manok, Sisig, Grilled Tuna Belly, Beef Caldereta, Kare-Kare,"Ali Mall, Cubao, Quezon City, Quezon City"
Filipino,Bossing's Buffet,Adobo, Sinigang, Kare-Kare, Lechon, Crispy Pata, Pancit Canton, Lumpiang Shanghai, Halo-Halo, Bibingka, Puto Bumbong,"SM City Valenzuela, Karuhatan, Valenzuela City, Valenzuela City"
Taiwanese Coffee,Botan Black Cafe,Black Sugar Milk Tea, Brown Sugar Boba Milk, Taro Milk Tea, Wintermelon Milk Tea, Matcha Latte, Oolong Milk Tea, Honey Lemon Green Tea, Rose Milk Tea, Strawberry Milk Tea, Coffee Milk Tea,"Bonifacio Global City, Taguig City"
Taiwanese Tea,Botan Bubble Tea Cafe,Brown Sugar Milk Tea, Mango Yakult Smoothie, Jasmine Green Tea, Wintermelon Slush, Strawberry Yakult Smoothie, Taro Slush, Matcha Red Bean Milk Tea, Honey Lemon Yakult, Black Sugar Boba Slush, Coffee Milk Tea,"Legaspi Village, Makati City"
Filipino,Botchoy's Batchoy,Original Batchoy, Chicken Batchoy, Beef Batchoy, Seafood Batchoy, Special Batchoy, Lechon Batchoy, Batchoy Mami, Batchoy Lomi, Batchoy Bulalo, Batchoy Sotanghon,"Shangri-La Plaza, Ortigas, Mandaluyong City, Mandaluyong City"
Japanese,Botejyu,Okonomiyaki, Yakisoba, Takoyaki, Teppanyaki, Gyoza, Yakiudon, Tempura, Kushikatsu, Chirashizushi, Tonpeiyaki,"Ayala Malls Vertis North, Bagong Pag-asa, Quezon City, Quezon City"
Japanese,Botejyu,Okonomiyaki, Yakisoba, Takoyaki, Teppanyaki, Gyoza, Yakiudon, Tempura, Kushikatsu, Chirashizushi, Tonpeiyaki,"North Wing, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City"
Japanese,Botejyu,Okonomiyaki, Yakisoba, Takoyaki, Teppanyaki, Gyoza, Yakiudon, Tempura, Kushikatsu, Chirashizushi, Tonpeiyaki,"Ayala Malls Feliz, Dela Paz, Pasig City, Pasig City"
Japanese,Botejyu,Okonomiyaki, Yakisoba, Takoyaki, Teppanyaki, Gyoza, Yakiudon, Tempura, Kushikatsu, Chirashizushi, Tonpeiyaki,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City"
